date_key,calendar_date,calendar_year,calendar_quarter,month_number,month_name,month_short_name,day_name,day_of_month,month_start
20190101,2019-01-01,2019,1,1,January,Jan,Tuesday,1,2019-01-01
20190102,2019-01-02,2019,1,1,January,Jan,Wednesday,2,2019-01-01
20190103,2019-01-03,2019,1,1,January,Jan,Thursday,3,2019-01-01
20190104,2019-01-04,2019,1,1,January,Jan,Friday,4,2019-01-01
20190105,2019-01-05,2019,1,1,January,Jan,Saturday,5,2019-01-01
20190106,2019-01-06,2019,1,1,January,Jan,Sunday,6,2019-01-01
20190107,2019-01-07,2019,1,1,January,Jan,Monday,7,2019-01-01
20190108,2019-01-08,2019,1,1,January,Jan,Tuesday,8,2019-01-01
20190109,2019-01-09,2019,1,1,January,Jan,Wednesday,9,2019-01-01
20190110,2019-01-10,2019,1,1,January,Jan,Thursday,10,2019-01-01
20190111,2019-01-11,2019,1,1,January,Jan,Friday,11,2019-01-01
20190112,2019-01-12,2019,1,1,January,Jan,Saturday,12,2019-01-01
20190113,2019-01-13,2019,1,1,January,Jan,Sunday,13,2019-01-01
20190114,2019-01-14,2019,1,1,January,Jan,Monday,14,2019-01-01
20190115,2019-01-15,2019,1,1,January,Jan,Tuesday,15,2019-01-01
20190116,2019-01-16,2019,1,1,January,Jan,Wednesday,16,2019-01-01
20190117,2019-01-17,2019,1,1,January,Jan,Thursday,17,2019-01-01
20190118,2019-01-18,2019,1,1,January,Jan,Friday,18,2019-01-01
20190119,2019-01-19,2019,1,1,January,Jan,Saturday,19,2019-01-01
20190120,2019-01-20,2019,1,1,January,Jan,Sunday,20,2019-01-01
20190121,2019-01-21,2019,1,1,January,Jan,Monday,21,2019-01-01
20190122,2019-01-22,2019,1,1,January,Jan,Tuesday,22,2019-01-01
20190123,2019-01-23,2019,1,1,January,Jan,Wednesday,23,2019-01-01
20190124,2019-01-24,2019,1,1,January,Jan,Thursday,24,2019-01-01
20190125,2019-01-25,2019,1,1,January,Jan,Friday,25,2019-01-01
20190126,2019-01-26,2019,1,1,January,Jan,Saturday,26,2019-01-01
20190127,2019-01-27,2019,1,1,January,Jan,Sunday,27,2019-01-01
20190128,2019-01-28,2019,1,1,January,Jan,Monday,28,2019-01-01
20190129,2019-01-29,2019,1,1,January,Jan,Tuesday,29,2019-01-01
20190130,2019-01-30,2019,1,1,January,Jan,Wednesday,30,2019-01-01
20190131,2019-01-31,2019,1,1,January,Jan,Thursday,31,2019-01-01
20190201,2019-02-01,2019,1,2,February,Feb,Friday,1,2019-02-01
20190202,2019-02-02,2019,1,2,February,Feb,Saturday,2,2019-02-01
20190203,2019-02-03,2019,1,2,February,Feb,Sunday,3,2019-02-01
20190204,2019-02-04,2019,1,2,February,Feb,Monday,4,2019-02-01
20190205,2019-02-05,2019,1,2,February,Feb,Tuesday,5,2019-02-01
20190206,2019-02-06,2019,1,2,February,Feb,Wednesday,6,2019-02-01
20190207,2019-02-07,2019,1,2,February,Feb,Thursday,7,2019-02-01
20190208,2019-02-08,2019,1,2,February,Feb,Friday,8,2019-02-01
20190209,2019-02-09,2019,1,2,February,Feb,Saturday,9,2019-02-01
20190210,2019-02-10,2019,1,2,February,Feb,Sunday,10,2019-02-01
20190211,2019-02-11,2019,1,2,February,Feb,Monday,11,2019-02-01
20190212,2019-02-12,2019,1,2,February,Feb,Tuesday,12,2019-02-01
20190213,2019-02-13,2019,1,2,February,Feb,Wednesday,13,2019-02-01
20190214,2019-02-14,2019,1,2,February,Feb,Thursday,14,2019-02-01
20190215,2019-02-15,2019,1,2,February,Feb,Friday,15,2019-02-01
20190216,2019-02-16,2019,1,2,February,Feb,Saturday,16,2019-02-01
20190217,2019-02-17,2019,1,2,February,Feb,Sunday,17,2019-02-01
20190218,2019-02-18,2019,1,2,February,Feb,Monday,18,2019-02-01
20190219,2019-02-19,2019,1,2,February,Feb,Tuesday,19,2019-02-01
20190220,2019-02-20,2019,1,2,February,Feb,Wednesday,20,2019-02-01
20190221,2019-02-21,2019,1,2,February,Feb,Thursday,21,2019-02-01
20190222,2019-02-22,2019,1,2,February,Feb,Friday,22,2019-02-01
20190223,2019-02-23,2019,1,2,February,Feb,Saturday,23,2019-02-01
20190224,2019-02-24,2019,1,2,February,Feb,Sunday,24,2019-02-01
20190225,2019-02-25,2019,1,2,February,Feb,Monday,25,2019-02-01
20190226,2019-02-26,2019,1,2,February,Feb,Tuesday,26,2019-02-01
20190227,2019-02-27,2019,1,2,February,Feb,Wednesday,27,2019-02-01
20190228,2019-02-28,2019,1,2,February,Feb,Thursday,28,2019-02-01
20190301,2019-03-01,2019,1,3,March,Mar,Friday,1,2019-03-01
20190302,2019-03-02,2019,1,3,March,Mar,Saturday,2,2019-03-01
20190303,2019-03-03,2019,1,3,March,Mar,Sunday,3,2019-03-01
20190304,2019-03-04,2019,1,3,March,Mar,Monday,4,2019-03-01
20190305,2019-03-05,2019,1,3,March,Mar,Tuesday,5,2019-03-01
20190306,2019-03-06,2019,1,3,March,Mar,Wednesday,6,2019-03-01
20190307,2019-03-07,2019,1,3,March,Mar,Thursday,7,2019-03-01
20190308,2019-03-08,2019,1,3,March,Mar,Friday,8,2019-03-01
20190309,2019-03-09,2019,1,3,March,Mar,Saturday,9,2019-03-01
20190310,2019-03-10,2019,1,3,March,Mar,Sunday,10,2019-03-01
20190311,2019-03-11,2019,1,3,March,Mar,Monday,11,2019-03-01
20190312,2019-03-12,2019,1,3,March,Mar,Tuesday,12,2019-03-01
20190313,2019-03-13,2019,1,3,March,Mar,Wednesday,13,2019-03-01
20190314,2019-03-14,2019,1,3,March,Mar,Thursday,14,2019-03-01
20190315,2019-03-15,2019,1,3,March,Mar,Friday,15,2019-03-01
20190316,2019-03-16,2019,1,3,March,Mar,Saturday,16,2019-03-01
20190317,2019-03-17,2019,1,3,March,Mar,Sunday,17,2019-03-01
20190318,2019-03-18,2019,1,3,March,Mar,Monday,18,2019-03-01
20190319,2019-03-19,2019,1,3,March,Mar,Tuesday,19,2019-03-01
20190320,2019-03-20,2019,1,3,March,Mar,Wednesday,20,2019-03-01
20190321,2019-03-21,2019,1,3,March,Mar,Thursday,21,2019-03-01
20190322,2019-03-22,2019,1,3,March,Mar,Friday,22,2019-03-01
20190323,2019-03-23,2019,1,3,March,Mar,Saturday,23,2019-03-01
20190324,2019-03-24,2019,1,3,March,Mar,Sunday,24,2019-03-01
20190325,2019-03-25,2019,1,3,March,Mar,Monday,25,2019-03-01
20190326,2019-03-26,2019,1,3,March,Mar,Tuesday,26,2019-03-01
20190327,2019-03-27,2019,1,3,March,Mar,Wednesday,27,2019-03-01
20190328,2019-03-28,2019,1,3,March,Mar,Thursday,28,2019-03-01
20190329,2019-03-29,2019,1,3,March,Mar,Friday,29,2019-03-01
20190330,2019-03-30,2019,1,3,March,Mar,Saturday,30,2019-03-01
20190331,2019-03-31,2019,1,3,March,Mar,Sunday,31,2019-03-01
20190401,2019-04-01,2019,2,4,April,Apr,Monday,1,2019-04-01
20190402,2019-04-02,2019,2,4,April,Apr,Tuesday,2,2019-04-01
20190403,2019-04-03,2019,2,4,April,Apr,Wednesday,3,2019-04-01
20190404,2019-04-04,2019,2,4,April,Apr,Thursday,4,2019-04-01
20190405,2019-04-05,2019,2,4,April,Apr,Friday,5,2019-04-01
20190406,2019-04-06,2019,2,4,April,Apr,Saturday,6,2019-04-01
20190407,2019-04-07,2019,2,4,April,Apr,Sunday,7,2019-04-01
20190408,2019-04-08,2019,2,4,April,Apr,Monday,8,2019-04-01
20190409,2019-04-09,2019,2,4,April,Apr,Tuesday,9,2019-04-01
20190410,2019-04-10,2019,2,4,April,Apr,Wednesday,10,2019-04-01
20190411,2019-04-11,2019,2,4,April,Apr,Thursday,11,2019-04-01
20190412,2019-04-12,2019,2,4,April,Apr,Friday,12,2019-04-01
20190413,2019-04-13,2019,2,4,April,Apr,Saturday,13,2019-04-01
20190414,2019-04-14,2019,2,4,April,Apr,Sunday,14,2019-04-01
20190415,2019-04-15,2019,2,4,April,Apr,Monday,15,2019-04-01
20190416,2019-04-16,2019,2,4,April,Apr,Tuesday,16,2019-04-01
20190417,2019-04-17,2019,2,4,April,Apr,Wednesday,17,2019-04-01
20190418,2019-04-18,2019,2,4,April,Apr,Thursday,18,2019-04-01
20190419,2019-04-19,2019,2,4,April,Apr,Friday,19,2019-04-01
